Network,Title ,Genre,"Shows/Films with Latino Lead and/or co-lead 
Actors/Actresses 0=no 1=yes",Names of Latino Lead Actors/Actresses,"Latino ""Showrunner/Lead Writer""? no= 0 yes=1",Names of Latino lead writers/show runners ,Latino Directors? 0= no or 1,Names of Latino Directors ,
E!,**Flip It Like Disick,Alternative,0.00,,0.00,,0.00,,
E!,**Relatively Nat & Live,Alternative,0.00,,0.00,,0.00,,
E!,**Dating #NoFilter,Alternative,0.00,,0.00,,0.00,,
E!,Revenge Body with Khloé Kardashian Season 3 ,Alternative,0.00,,0.00,,0.00,,
E!,Dating #NoFilter Season 2 ,Alternative,0.00,,0.00,,0.00,,
,,E!,0%,,0%,,0%,,
,,,,,,,,,
Food Network,BBQ BRAWL ,Alternative ,0.00,,0.00,,n/a,,
Food Network,Best Baker in America,Alternative ,1.00,Marcela Valladolid (U.S.),0.00,,n/a,,
Food Network,Bite Club,Alternative ,0.00,,0.00,,n/a,,
Food Network,Chopped Junior Season 8,Alternative ,0.00,,0.00,,n/a,,
Food Network,CUPCAKE CHAMPIONSHIP ,Alternative ,0.00,,0.00,,n/a,,
Food Network,Delicious Miss Brown,Alternative ,0.00,,0.00,,n/a,,
Food Network,"DINERS, DRIVE-INS & DIVES",Alternative ,0.00,,0.00,,n/a,,
Food Network,Family Restaurant Rivals,Alternative ,0.00,,0.00,,n/a,,
Food Network,Good Eats Season 15 (Revival),Alternative ,0.00,,0.00,,n/a,,
Food Network,Kids Baking Championship Season 7,Alternative ,0.00,,0.00,,n/a,,
Food Network,Restaurant: Impossible Season 15,Alternative ,0.00,,0.00,,n/a,,
Food Network,Supermarket Stakeout,Alternative ,0.00,,0.00,,n/a,,
Food Network,THE FLAY LIST,Alternative ,0.00,,0.00,,n/a,,
Food Network,The Great Food Truck Race,Alternative ,0.00,,0.00,,n/a,,
Food Network,Wedding Cake Championship,Alternative ,0.00,,0.00,,n/a,,
Food Network,Worst Bakers in America Season 2 ,Alternative ,0.00,,0.00,,n/a,,
Food Network,Worst Cooks in America,Alternative ,0.00,,0.00,,n/a,,
,,Food Network,,,0%,,0%,,
,,,,,,,,,
Fox,Beat Shazam,Alternative,0.00,,0.00,,0.00,,
FOX,BH90210,Drama,0.00,,0.00,,0.00,,
FOX,First Responders Live,Docu-series,0.00,,0.00,,0.00,,
FOX,MasterChef,Alternative,1.00,Aarón Sánchez (U.S.),0.00,,0.00,,
FOX,Paradise Hotel,Alternative,0.00,,0.00,,0.00,,
FOX,So You Think You Can Dance,Alternative,0.00,,0.00,,0.00,,
FOX,Spin the Wheel,Alternative,0.00,,0.00,,0.00,,
FOX,What Just Happened??! With Fred Savage,Alternative,0.00,,0.00,,0.00,,
,,FOX,,,0%,,0%,,
,,,,,,,,,
Freeform,Ms. T's Music Factory ,Alternative ,0.00,,0.00,,0.00,,
Freeform,Grown-Ish,Comedy,1.00,Francia Raisa (U.S.),0.00,,1.00,Linda Mendoza,
Freeform,Good Trouble,Comedy,1.00,Cierra Ramirez (U.S.),0.00,,0.00,,
Freeform,Siren,Drama,0.00,,0.00,,1.00,Joe Menendez ,
,,Freeform,2/4= 50%,,0%,,2/4= 50%,,
,,,,,,,,,
FX,Archer: 1999,Comedy,0.00,,0.00,,0.00,,
FX,Baskets,Comedy,0.00,,0.00,,0.00,,
FX,Legion,Drama,1.00,Daniella Pineda,0.00,,1.00,"Dana Gonzales, Carlos López Estrada",
FX,Pose,Drama,1.00,Mj Rodriguez (U.S.),1.00,"Steven Canals
(U.S.)",0.00,,
FX,Snowfall Season 3,Drama,0.00,,0.00,,1.00,"Alonso Alvarez (Mexico), Zetna Fuentes (Bronx + Puerto Rico)",
,,FX,2/5= 40%,,,,2/5= 40%,,
,,,,,,,,,
Hallmark,The Good Witch Season 5 ,Comedy,0.00,,0.00,,0.00,,
Hallmark,WHEN CALLS THE HEART,Drama,0.00,,0.00,,0.00,,
Hallmark,Chesapeake Shores ,Drama,0.00,,0.00,,0.00,,
,,Hallmark,0%,,0%,,0%,,
,,,,,,,,,
HBO,Big Little Lies,Drama,0.00,,0.00,,0.00,,
HBO,Divorce Season 3 ,Drama,0.00,,0.00,,0.00,,
HBO,Euphoria,Drama,1.00,Alexa Demie,0.00,,0.00,,
HBO,Hard Knocks: Training Camp with the Oakland Raiders (Season 14),Alternative,0.00,,0.00,,0.00,,
HBO,Los Espookys,Comedy,1.00,"Ana Fabrega, Cassandra Ciangherotti, Julio Torres, Bernardo Velascoa,",1.00,"Julio Torres, Ana Fabrega ",1.00,Fernando Frias,
HBO,A Black Lady Sketch Show,Alternative,0.00,,0.00,,0.00,,
HBO,Ballers,Comedy,0.00,,0.00,,0.00,,
HBO,Chernobyl,Drama,0.00,,0.00,,0.00,,
HBO,OUR BOYS ,drama,0.00,,0.00,,0.00,,
HBO,Succession,Drama,0.00,,0.00,,0.00,,
HBO,The Righteous Gemstones,Comedy,0.00,,0.00,,0.00,,
,,HBO,,,,,,,
,,,,,,,,,
HGTV,Beach front Bargain Hunt,Alternative,0.00,,0.00,,n/a,,
HGTV,Beach Hunters,Alternative,0.00,,0.00,,n/a,,
HGTV,Caribbean Life,Alternative,0.00,,0.00,,n/a,,
HGTV,Christina on the Coast,Alternative,0.00,,0.00,,n/a,,
HGTV,Flip or Flop Season 8,Alternative,0.00,,0.00,,n/a,,
HGTV,Going for Sold,Alternative,0.00,,0.00,,n/a,,
HGTV,Good Bones,Alternative,0.00,,0.00,,n/a,,
HGTV,Hawaii Hunters,Alternative,0.00,,0.00,,n/a,,
HGTV,Hidden Potential Season 2,Alternative,0.00,,0.00,,n/a,,
HGTV,Island Hunters,Alternative,0.00,,0.00,,n/a,,
HGTV,Mexico Life,Alternative,0.00,,0.00,,n/a,,
HGTV,Mountain Mamas,Alternative,0.00,,0.00,,n/a,,
HGTV,My House Is Your House,Alternative,0.00,,0.00,,n/a,,
HGTV,Pool Hunters,Alternative,n/a,,n/a,,n/a,,
HGTV,PROPERTY BROTHERS: FOREVER HOME,Alternative,0.00,,0.00,,n/a,,
HGTV,Stay or Sell,Alternative,0.00,,0.00,,n/a,,
HGTV,Supersize My Pool,Alternative,1.00,Mario Lopez,0.00,,n/a,,
 HGTV,UNSPOUSE MY HOUSE ,Alternative,0.00,,0.00,,n/a,,
,, HGTV,,,0%,,n/a,,
,,,,,,,,,
History,**Unidentified: Inside America's UFO Investigation,Docu-series,0.00,,0.00,,n/a,,
History,**The Strongest Man in History,Alternative,0.00,,0.00,,n/a,,
History,Ancient Aliens Season 14 ,Docu-series,0.00,,0.00,,n/a,,
History,AX Men,Alternative,0.00,,0.00,,n/a,,
History,Forged in Fire: Knife or Death,Alternative,0.00,,0.00,,n/a,,
History,The Unxplained,Alternative,0.00,,0.00,,n/a,,
History,American Pickers,Alternative,0.00,,0.00,,n/a,,
History,Alone Season 6,Alternative,0.00,,0.00,,n/a,,
