Network,Title ,Genre,"Shows/Films with Latino Lead and/or co-lead 
Actors/Actresses 0=no 1=yes",Names of Latino Lead Actors/Actresses,"Latino ""Showrunner/Lead Writer""? no= 0 yes=1",Names of Latino lead writers/show runners ,Latino Directors? 0= no or 1,Names of Latino Directors ,,,,,,
Freeform,Good Trouble,Comedy,1,Cierra Ramirez (U.S.),0,,0,,,,,,,
National Geographic,GORDON RAMSAY: UNCHARTED,Alternative,0,,0,,0,,,,,,,
ABC,Grand Hotel,Drama,1,"Demián Bichir, Roselyn Sanchez",0,,1,,,,,,,
USA,Growing Up Chrisley,Alternative,0,,0,,0,,,,,,,
Freeform,Grown-Ish,Comedy,1,Francia Raisa (U.S.),0,,1,,,,,,,
Discovery,Guardians of the Glades,Alternative,0,,0,,n/a,,,,,,,
HBO,Hard Knocks: Training Camp with the Oakland Raiders (Season 14),Alternative,0,,0,,0,,,,,,,
Hulu,Harlots,Drama,0,,0,,0,,,,,,,
Travel Channel,Haunted Towns,Alternative,0,,0,,n/a,,,,,,,
A&E,Hero Ink,Alternative,0,,0,,0,,,,,,,
HGTV,Hidden Potential Season 2,Alternative,0,,0,,n/a,,,,,,,
VH1,Hip Hop Squares Season 5,Alternative,0,,0,,0,,,,,,,
Netflix ,Historical Roasts,Comedy,0,,0,,0,,,,,,,
NATIONAL GEOGRAPHIC ,Hitler's Last Stand,Docu-series,0,,0,,0,,,,,,,
ABC,Holey Moley,Alternative,0,,0,,0,,,,,,,
NBC,Hollywood Game Night,Alternative,0,,0,,0,,,,,,,
Discovery,Home Sweet Sextuplets,Alternative,0,,0,,n/a,,,,,,,
Discovery,Homestead Rescue,Alternative,0,,0,,n/a,,,,,,,
INVESTIGATION DISCOVERY,Homicide Hunter: Lt. Joe Kenda,Docu-series,0,,0,,n/a,,,,,,,
MTV,How Far Is Tattoo Far? Season 2,Alternative,0,,0,,0,,,,,,,
Netflix,Hyperdrive,Docu-series,0,,0,,0,,,,,,,
CW,Hypnotize Me,Alternative,0,,0,,0,,,,,,,
CW,I Ship It,Alternative,0,,0,,0,,,,,,,
INVESTIGATION DISCOVERY,Impact of Murder,Drama,0,,0,,n/a,,,,,,,
Paramount,Ink Master,Alternative,1,"Dave Navarro (129), Chris Nunez (108)",0,,n/a,,,,,,,
CBS,Instinct,Drama,0,,0,,0,,,,,,,
A&E,Intervention,Alternative,0,,0,,0,,,,,,,
Hulu,Into the Dark: Culture Shock,Drama,0,,0,,1,,,,,,,
HGTV,Island Hunters,Alternative,0,,0,,n/a,,,,,,,
Netflix,It's Bruno!,Comedy,1,Shakira Barrera,0,,0,,,,,,,
OWN,Iyanla: Fix My Life,Talk-Show,0,,0,,0,,,,,,,
CW,iZombie,Comedy,0,,0,,0,,,,,,,
Netflix,Jailbirds,Docu-series,0,,0,,n/a,,,,,,,
DISCOVERY CHANNEL,JEREMY WADE'S DARK WATERS,Alternative,0,,0,,n/a,,,,,,,
MTV,Jersey Shore Family Vacation Season 3 ,Alternative,0,,0,,0,,,,,,,
TLC,KATE PLUS DATE,Alternative,0,,0,,n/a,,,,,,,
Comedy Central,Kevin Hart Presents: Hart of the City,Alternative,0,,0,,0,,,,,,,
Food Network,Kids Baking Championship Season 7,Alternative ,0,,0,,n/a,,,,,,,
Comedy Central,Klepper,Comedy,0,,0,,0,,,,,,,
Netflix,Last Chance U,Docu-series,0,,0,,0,,,,,,,
FX,Legion,Drama,1,Daniella Pineda,0,,1,,,,,,,
Hulu,Light as a Feather ,Drama,0,,0,,0,,,,,,,
Comedy Central,Lights Out with Daivd Spade,Comedy,0,,0,,0,,,,,,,
Paramount,Lip Sync Battle,Alternative,0,,0,,n/a,,,,,,,
